Date,Start Time (hr),Perf. Measure (s)
17/06/2025,7,540
17/06/2025,8,600
17/06/2025,9,600
17/06/2025,10,600
17/06/2025,11,660
18/06/2025,6,420
18/06/2025,7,540
18/06/2025,8,600
18/06/2025,9,600
18/06/2025,10,660
18/06/2025,11,660
19/06/2025,6,360
19/06/2025,7,480
19/06/2025,8,600
19/06/2025,9,600
19/06/2025,10,660
19/06/2025,11,660
20/06/2025,6,360
20/06/2025,7,480
20/06/2025,8,600
20/06/2025,9,600
20/06/2025,10,660
20/06/2025,11,600
23/06/2025,6,360
23/06/2025,7,480
23/06/2025,8,480
23/06/2025,9,480
23/06/2025,10,480
23/06/2025,11,600
24/06/2025,6,360
24/06/2025,7,420
24/06/2025,8,540
24/06/2025,9,660
24/06/2025,10,480
24/06/2025,11,540
25/06/2025,6,360
25/06/2025,7,420
25/06/2025,8,540
25/06/2025,9,540
25/06/2025,10,540
25/06/2025,11,600
26/06/2025,6,360
26/06/2025,7,420
26/06/2025,8,480
26/06/2025,9,480
26/06/2025,10,540
26/06/2025,11,540
27/06/2025,6,360
27/06/2025,7,420
27/06/2025,8,480
27/06/2025,9,480
27/06/2025,10,540
27/06/2025,11,600
30/06/2025,6,300
30/06/2025,7,480
30/06/2025,8,480
30/06/2025,9,480
30/06/2025,10,480
30/06/2025,11,540
01/07/2025,6,300
01/07/2025,7,420
01/07/2025,8,540
01/07/2025,9,540
01/07/2025,10,540
01/07/2025,11,540
02/07/2025,6,420
02/07/2025,7,420
02/07/2025,8,480
02/07/2025,9,480
02/07/2025,10,540
02/07/2025,11,840
03/07/2025,6,300
03/07/2025,7,420
03/07/2025,8,540
03/07/2025,9,540
03/07/2025,10,540
03/07/2025,11,540
04/07/2025,6,360
04/07/2025,7,420
04/07/2025,8,480
04/07/2025,9,480
04/07/2025,10,540
04/07/2025,11,600
07/07/2025,9,480
07/07/2025,10,540
07/07/2025,11,600
08/07/2025,6,360
17/07/2025,6,360
17/07/2025,7,420
17/07/2025,8,540
17/07/2025,9,480
17/07/2025,10,540
17/07/2025,11,600
18/07/2025,6,360
18/07/2025,7,420
18/07/2025,8,480
18/07/2025,9,480
18/07/2025,10,540
18/07/2025,11,540
21/07/2025,6,360
21/07/2025,7,420
21/07/2025,8,480
21/07/2025,9,480
21/07/2025,10,660
21/07/2025,11,540
22/07/2025,6,360
22/07/2025,7,420
22/07/2025,8,480
22/07/2025,9,480
22/07/2025,10,480
22/07/2025,11,540
23/07/2025,6,480
23/07/2025,7,420
23/07/2025,8,480
23/07/2025,9,480
23/07/2025,10,540
23/07/2025,11,540
24/07/2025,6,300
24/07/2025,7,420
24/07/2025,8,480
24/07/2025,9,540
24/07/2025,10,540
24/07/2025,11,540
25/07/2025,6,420
25/07/2025,7,480
25/07/2025,8,480
25/07/2025,9,540
25/07/2025,10,600
25/07/2025,11,540
28/07/2025,6,360
28/07/2025,7,360
28/07/2025,8,480
28/07/2025,9,480
28/07/2025,10,540
28/07/2025,11,540
29/07/2025,6,360
29/07/2025,7,420
29/07/2025,8,480
29/07/2025,9,540
29/07/2025,10,660
29/07/2025,11,720
