Date,Start Time (hr),Perf. Measure (s)
05/06/2025,8,327.1
05/06/2025,9,325.3
05/06/2025,10,325.1
05/06/2025,11,325.8
06/06/2025,6,326.5
06/06/2025,7,328.9
06/06/2025,8,326.7
06/06/2025,9,325
06/06/2025,10,324.8
06/06/2025,11,325.4
09/06/2025,6,327.2
09/06/2025,7,330
09/06/2025,8,327.4
09/06/2025,9,325.5
09/06/2025,10,325.4
09/06/2025,11,326
10/06/2025,6,327.2
10/06/2025,7,330
10/06/2025,8,327.4
10/06/2025,9,325.5
10/06/2025,10,325.4
10/06/2025,11,326
13/06/2025,6,326.5
13/06/2025,7,328.9
13/06/2025,8,326.7
13/06/2025,9,326.4
13/06/2025,10,324.8
13/06/2025,11,325.4
16/06/2025,6,327.2
16/06/2025,7,330
16/06/2025,8,327.4
16/06/2025,9,325.5
16/06/2025,10,325.4
16/06/2025,11,326
17/06/2025,6,327.2
17/06/2025,7,330
17/06/2025,8,327.4
17/06/2025,9,325.5
17/06/2025,10,325.4
17/06/2025,11,326
18/06/2025,6,334.2
18/06/2025,7,328
18/06/2025,8,326
18/06/2025,9,324.5
18/06/2025,10,324.4
18/06/2025,11,324.9
19/06/2025,6,326.9
19/06/2025,7,329.5
19/06/2025,8,327.1
19/06/2025,9,325.3
19/06/2025,10,325.1
19/06/2025,11,325.8
20/06/2025,6,334.8
20/06/2025,7,328.9
20/06/2025,8,326.7
20/06/2025,9,325
20/06/2025,10,324.8
20/06/2025,11,325.4
23/06/2025,6,327.2
23/06/2025,7,330
23/06/2025,8,327.4
23/06/2025,9,325.5
23/06/2025,10,325.4
23/06/2025,11,326
24/06/2025,6,327.2
24/06/2025,7,330
24/06/2025,8,327.4
24/06/2025,9,325.5
24/06/2025,10,325.4
24/06/2025,11,326
25/06/2025,6,325.9
25/06/2025,7,328
25/06/2025,8,326
25/06/2025,9,324.5
25/06/2025,10,324.4
25/06/2025,11,324.9
26/06/2025,6,326.9
26/06/2025,7,329.5
26/06/2025,8,327.1
26/06/2025,9,325.3
26/06/2025,10,325.1
26/06/2025,11,325.8
27/06/2025,6,326.5
27/06/2025,7,337.3
27/06/2025,8,326.7
27/06/2025,9,325
27/06/2025,10,324.8
27/06/2025,11,325.4
30/06/2025,6,327.2
30/06/2025,7,330
30/06/2025,8,327.4
30/06/2025,9,325.5
30/06/2025,10,325.4
30/06/2025,11,334.4
01/07/2025,6,335
01/07/2025,7,329.2
01/07/2025,8,326.8
01/07/2025,9,325.1
01/07/2025,10,324.9
01/07/2025,11,325.5
02/07/2025,6,325.5
02/07/2025,7,327.4
02/07/2025,8,325.5
02/07/2025,9,324.1
02/07/2025,10,324
02/07/2025,11,324.5
03/07/2025,6,326.4
03/07/2025,7,337.1
03/07/2025,8,326.5
03/07/2025,9,324.9
03/07/2025,10,324.7
03/07/2025,11,325.3
04/07/2025,6,326
04/07/2025,7,331
04/07/2025,8,328.9
04/07/2025,9,332.9
04/07/2025,10,324.4
04/07/2025,11,325
07/07/2025,6,326.7
07/07/2025,7,329.2
07/07/2025,8,326.8
08/07/2025,6,326.7
17/07/2025,6,326.4
17/07/2025,7,328.7
17/07/2025,8,326.5
17/07/2025,9,324.9
17/07/2025,10,324.7
17/07/2025,11,325.3
18/07/2025,6,326
18/07/2025,7,328.2
18/07/2025,8,326.1
18/07/2025,9,324.6
18/07/2025,10,324.4
18/07/2025,11,325
21/07/2025,6,326.7
21/07/2025,7,329.2
21/07/2025,8,326.8
21/07/2025,9,325.1
21/07/2025,10,327
21/07/2025,11,333.9
22/07/2025,6,326.7
22/07/2025,7,329.2
22/07/2025,8,326.8
22/07/2025,9,325.1
22/07/2025,10,324.9
22/07/2025,11,325.5
23/07/2025,6,325.5
23/07/2025,7,327.4
23/07/2025,8,325.5
23/07/2025,9,324.1
23/07/2025,10,324
23/07/2025,11,324.5
24/07/2025,6,326.4
24/07/2025,7,328.7
24/07/2025,8,326.5
24/07/2025,9,324.9
24/07/2025,10,324.7
24/07/2025,11,325.3
25/07/2025,6,326
25/07/2025,7,328.2
25/07/2025,8,326.1
25/07/2025,9,324.6
25/07/2025,10,324.4
25/07/2025,11,325
28/07/2025,6,328.9
28/07/2025,7,329.2
28/07/2025,8,326.8
28/07/2025,9,325.1
28/07/2025,10,324.9
28/07/2025,11,325.5
29/07/2025,6,326.7
29/07/2025,7,329.2
29/07/2025,8,326.8
29/07/2025,9,325.1
29/07/2025,10,324.9
29/07/2025,11,325.5
